County	All Total	All Added	All Deleted	Democrats Total	Democrats Added	Democrats Deleted	Democrats Changed Out	Democrats Changed In	Republicans Total	Republicans Added	Republicans Deleted	Republicans Changed Out	Republicans Changed In	No Party Total	No Party Added	No Party Deleted	No Party Changed Out	No Party Changed In	Third Party Total	Third Party Added	Third Party Deleted	Third Party Changed Out	Third Party Changed In	D to R Total	R to D Total	Blacks Total	Blacks Added	Blacks Deleted	Whites Total	Whites Added	Whites Deleted	Other Races Total	Other Races Added	Other Races Deleted	Men Total	Men Added	Men Deleted	Women Total	Women Added	Women Deleted	Black Women Total	Black Women Added	Black Women Deleted	Black Democrats Total	Black Democrats Added	Black Democrats Deleted	Black Republicans Total	Black Republicans Added	Black Republicans Deleted	Hispanic Democrats Total	Hispanic Democrats Added	Hispanic Democrats Deleted	Hispanic Republicans Total	Hispanic Republicans Added	Hispanic Republicans Deleted	Under 30 Total	Under 30 Added	Under 30 Deleted	30 to 39 Total	30 to 39 Added	30 to 39 Deleted	40 to 49 Total	40 to 49 Added	40 to 49 Deleted	50 to 59 Total	50 to 59 Added	50 to 59 Deleted	60 to 69 Total	60 to 69 Added	60 to 69 Deleted	70 and over Total	70 and over Added	70 and over Deleted	Under 30 Republicans Total	Under 30 Republicans Added	Under 30 Republicans Deleted	Under 30 Democrats Total	Under 30 Democrats Added	Under 30 Democrats Deleted
Alachua	178672	1183	727	82795	470	328	93	118	49836	329	213	33	106	41323	352	168	131	44	4718	32	18	19	8	62	20	29921	154	108	122163	786	508	26588	243	111	78298	476	295	94859	629	405	18133	98	69	24631	103	86	916	7	6	4507	54	29	2352	16	10	51410	641	283	33228	198	144	23015	89	44	25324	109	65	24563	81	62	20427	65	129	12436	154	77	21241	293	116
Baker	14585	88	88	6570	16	32	18	0	6452	47	44	2	22	1354	21	11	4	2	209	4	1	1	1	17	0	1312	5	4	12734	77	80	539	6	4	6768	44	36	7756	41	51	795	2	2	1207	5	3	35	0	1	34	2	0	53	1	1	2360	46	13	2407	14	14	2594	9	7	2867	10	15	2377	6	19	1891	2	20	1187	24	5	701	8	2
Bay	125055	662	356	35770	138	126	85	22	60938	287	157	12	99	25230	206	65	34	17	3117	31	8	10	3	75	7	11436	48	22	104711	556	312	8908	58	22	58173	305	173	65294	352	180	6535	26	12	8864	34	16	664	1	2	765	7	4	971	5	1	21744	219	58	20443	99	42	20121	81	39	24083	102	37	20196	116	51	18289	45	128	9162	81	24	5153	47	17
Bradford	16053	76	59	7034	18	21	15	1	6635	38	22	2	17	2100	20	15	2	2	284	0	1	1	0	15	1	2143	7	3	13331	65	53	579	4	3	7424	33	31	8506	41	28	1236	2	1	1865	3	2	97	1	1	65	1	0	51	2	0	2707	29	9	2410	13	11	2347	9	13	2888	7	9	2827	10	5	2846	8	12	1266	18	4	811	4	2
Brevard	419867	2669	1337	136145	740	491	551	288	171164	916	523	259	678	96831	904	264	414	395	15727	109	59	193	56	364	96	35289	231	87	342661	2059	1154	41917	379	96	195714	1266	693	219878	1356	633	19945	120	35	27571	143	69	1624	10	3	8690	89	19	5610	53	12	64575	782	177	53328	378	128	57042	324	119	84290	433	152	74345	475	192	83920	272	565	19976	211	58	18731	216	54
Broward	1227248	5547	12753	616957	2179	6356	565	494	263661	1044	2935	187	709	325957	2193	3187	754	332	20673	131	275	96	67	336	84	282374	1058	2207	605312	2369	7855	339562	2120	2691	548481	2556	5854	644954	2715	6595	163297	588	1155	227517	705	1704	8631	32	93	96817	546	765	48166	272	356	201015	1701	1579	197952	1054	2326	210168	865	1932	241244	821	1983	183546	566	1487	190054	535	3435	28747	274	217	95907	690	772
Calhoun	8609	55	34	5711	26	24	15	0	1977	18	6	0	17	824	10	4	2	2	97	1	0	2	0	14	0	793	5	4	7477	44	29	339	6	1	3980	24	14	4521	29	19	456	3	2	734	5	2	16	0	0	41	0	0	23	0	0	1564	35	7	1218	4	3	1212	5	5	1439	5	3	1330	5	4	1384	1	11	393	8	2	874	19	3
Charlotte	130842	1178	537	38111	297	160	74	38	54496	501	253	28	148	32404	319	110	94	25	5831	61	14	23	8	64	14	5347	44	19	116530	1038	486	8965	96	32	60737	550	288	68605	596	241	2985	17	6	4004	27	14	265	6	1	1635	27	6	974	10	1	13848	246	52	10055	85	42	12838	96	27	21639	213	57	30559	327	104	41221	206	252	3963	82	18	3727	79	13
Citrus	107037	695	403	32897	163	121	68	37	45791	318	181	23	128	24549	191	93	86	23	3800	23	8	18	7	55	10	2502	11	8	97936	624	375	6599	60	20	49917	344	200	56310	344	199	1345	6	3	1931	7	8	151	0	0	1171	10	0	753	10	1	12525	119	43	9384	50	23	11150	81	17	17542	128	37	23318	180	78	32585	133	205	4322	47	12	3165	23	9
Clay	147722	1070	1027	33367	293	243	63	26	77563	412	493	24	96	32552	331	256	63	37	4240	34	35	15	6	45	7	14577	122	89	117187	812	834	15958	136	104	69535	456	448	76398	598	557	7953	69	52	10283	89	63	1003	4	5	2201	35	19	2419	14	19	28089	357	234	23274	209	162	26176	153	157	28056	145	173	22665	124	131	18571	81	167	12432	142	94	5477	79	44
Collier	216342	1672	724	51889	377	188	109	72	105009	734	347	55	206	53954	529	168	169	59	5490	32	21	20	16	76	24	8355	49	23	178671	1375	635	29316	248	66	100617	784	360	114165	861	361	4340	25	13	6077	27	19	429	5	0	8400	44	18	5828	32	11	27596	309	105	20514	141	59	24543	143	46	35083	281	83	43351	453	113	64442	344	318	9137	104	33	6937	65	25
Columbia	39366	277	131	16120	60	62	34	8	16033	134	49	4	49	6192	74	16	22	3	1021	9	4	2	2	30	3	5646	19	19	31602	227	106	2118	31	6	18132	120	70	21054	154	60	3304	11	12	4910	15	17	186	1	1	328	7	2	348	4	1	6832	86	13	5578	38	20	5637	42	16	7169	43	15	7223	38	18	6867	30	48	2780	38	6	2204	17	3
Miami-Dade	1394094	5624	3692	593270	2169	1603	1005	603	376258	983	1062	509	1034	403479	2360	972	1014	1047	21087	112	55	245	89	439	164	259680	959	660	271177	1072	1123	863237	3593	1909	609095	2461	1687	745553	2805	1915	148341	506	375	215194	681	545	7520	26	21	235975	987	505	272270	656	663	258759	2226	569	228915	989	559	224851	771	359	240590	719	462	193885	531	425	244952	387	1315	39013	304	87	114491	892	246
Desoto	15915	96	452	7605	22	235	18	11	4756	36	103	4	23	3294	36	106	13	2	260	2	8	1	0	16	4	1668	8	40	12422	80	352	1825	8	60	7204	53	194	8664	43	256	994	6	27	1430	6	31	41	0	4	651	0	20	190	0	8	2502	29	15	2036	9	95	1964	9	81	2649	14	94	2886	25	69	3864	10	96	571	7	5	1002	8	5
