County	All Total	All Added	All Deleted	Democrats Total	Democrats Added	Democrats Deleted	Democrats Changed Out	Democrats Changed In	Republicans Total	Republicans Added	Republicans Deleted	Republicans Changed Out	Republicans Changed In	No Party Total	No Party Added	No Party Deleted	No Party Changed Out	No Party Changed In	Third Party Total	Third Party Added	Third Party Deleted	Third Party Changed Out	Third Party Changed In	D to R Total	R to D Total	Blacks Total	Blacks Added	Blacks Deleted	Whites Total	Whites Added	Whites Deleted	Other Races Total	Other Races Added	Other Races Deleted	Men Total	Men Added	Men Deleted	Women Total	Women Added	Women Deleted	Black Women Total	Black Women Added	Black Women Deleted	Black Democrats Total	Black Democrats Added	Black Democrats Deleted	Black Republicans Total	Black Republicans Added	Black Republicans Deleted	Hispanic Democrats Total	Hispanic Democrats Added	Hispanic Democrats Deleted	Hispanic Republicans Total	Hispanic Republicans Added	Hispanic Republicans Deleted	Under 30 Total	Under 30 Added	Under 30 Deleted	30 to 39 Total	30 to 39 Added	30 to 39 Deleted	40 to 49 Total	40 to 49 Added	40 to 49 Deleted	50 to 59 Total	50 to 59 Added	50 to 59 Deleted	60 to 69 Total	60 to 69 Added	60 to 69 Deleted	70 and over Total	70 and over Added	70 and over Deleted	Under 30 Republicans Total	Under 30 Republicans Added	Under 30 Republicans Deleted	Under 30 Democrats Total	Under 30 Democrats Added	Under 30 Democrats Deleted
Alachua	182151	7478	4230	86275	3731	1864	732	2217	51667	2208	1321	526	1359	39707	1429	964	2281	200	4502	110	81	287	50	614	432	30340	843	503	124198	4631	2808	27613	2004	919	79741	3070	1838	96576	3720	2205	18336	478	303	25053	639	402	934	30	20	5138	607	243	2533	220	114	54240	5086	2178	33493	812	716	23231	467	268	25451	471	330	24665	366	318	20333	263	415	13237	1421	638	24098	2769	923
Baker	14932	553	223	6194	99	77	383	24	7190	356	117	8	455	1352	93	25	85	11	196	5	4	17	3	378	3	1318	29	21	13056	486	191	558	38	11	6937	268	99	7918	268	123	796	14	13	1210	22	19	40	4	0	34	3	2	61	3	1	2596	278	48	2462	89	35	2625	64	33	2899	61	31	2395	41	32	1866	19	44	1378	187	26	737	52	12
Bay	128172	4231	1478	35991	952	462	820	551	64012	2053	726	209	1706	25170	1149	253	1236	165	2999	77	37	189	32	733	131	11659	313	117	107153	3367	1253	9360	551	108	59633	1955	690	66750	2030	773	6647	156	59	9032	204	88	671	13	8	835	68	10	1032	50	23	23321	1785	284	20980	682	242	20491	555	188	24521	574	201	20476	416	225	18179	213	337	9986	808	124	5660	411	83
Bradford	16157	506	415	6745	122	145	271	32	7064	266	185	9	333	2081	104	73	83	15	267	14	12	17	0	261	5	2158	47	34	13403	427	365	596	32	16	7494	254	187	8540	244	222	1239	22	21	1871	35	31	101	3	0	70	6	1	50	1	4	2776	187	115	2441	91	64	2367	72	52	2914	81	57	2835	50	52	2791	24	74	1329	108	52	815	41	29
Brevard	428986	12222	4669	138834	3511	1626	1883	2454	178509	4706	1922	779	4481	96263	3622	930	4174	446	15380	383	191	789	244	1566	546	36034	958	338	349263	9308	3867	43689	1956	464	199992	5775	2270	224446	6033	2346	20320	507	200	28141	648	262	1677	45	19	9138	427	117	6073	282	77	68438	4557	901	54792	1662	484	58208	1429	377	85768	1856	631	75779	1664	598	83571	1033	1664	21539	1537	300	20466	1455	302
Broward	1250406	36875	15377	631475	16973	7511	4589	9329	274864	7421	3823	1628	8750	323754	11871	3741	12777	1642	20313	610	302	976	249	3417	1154	288373	7885	2464	610012	13380	8821	352021	15610	4092	558541	15761	6891	655598	17505	8057	166306	4137	1458	232969	5629	2001	8907	232	78	102167	4688	1266	51175	2068	723	215878	18240	3137	201505	5444	2378	212714	4335	1790	243285	3884	2235	184816	2867	2072	188829	2055	3724	31867	3032	533	105158	8732	1465
Calhoun	8678	211	136	5481	81	80	236	22	2287	98	38	13	251	816	29	15	23	2	94	3	3	5	2	232	13	796	13	9	7524	175	123	358	23	4	4016	99	62	4550	107	73	460	9	4	738	13	8	17	0	0	45	2	0	27	4	0	1628	93	26	1214	20	22	1228	32	12	1462	35	14	1330	20	19	1351	10	40	448	41	5	883	39	18
Charlotte	133846	4414	2205	38799	1155	645	693	721	57563	1981	983	213	1798	31844	1106	493	1496	175	5640	172	84	323	31	589	156	5435	135	72	119184	3900	1973	9227	379	160	62161	2056	1008	70099	2235	1170	3029	64	40	4066	91	54	267	6	5	1745	99	27	1035	41	21	14539	853	310	10303	390	186	13146	473	178	22422	936	278	31589	1142	368	41148	614	877	4232	287	113	4006	236	91
Citrus	109389	3553	1606	32918	897	520	847	476	48727	1629	715	159	1786	24075	912	326	1232	165	3669	115	45	229	40	736	100	2550	88	43	99954	3120	1470	6885	345	93	51019	1637	762	57418	1733	826	1359	33	19	1971	53	32	160	10	4	1234	68	13	837	38	10	13215	880	217	9672	360	135	11431	399	121	18028	614	196	23990	786	241	32501	508	691	4702	334	75	3404	260	61
Clay	149811	5139	3478	33741	1290	983	659	673	80268	2294	1528	216	1896	31705	1422	866	1655	145	4097	133	101	227	43	588	139	14766	649	523	118617	3675	2552	16428	815	403	70486	2290	1559	77413	2643	1874	7998	346	327	10464	424	399	1032	35	22	2304	129	71	2581	119	59	29191	1988	997	23637	984	691	26372	736	530	28305	610	472	22877	498	357	18514	313	422	13091	830	386	5913	474	262
