County	All Total	All Added	All Deleted	Democrats Total	Democrats Added	Democrats Deleted	Democrats Changed Out	Democrats Changed In	Republicans Total	Republicans Added	Republicans Deleted	Republicans Changed Out	Republicans Changed In	No Party Total	No Party Added	No Party Deleted	No Party Changed Out	No Party Changed In	Third Party Total	Third Party Added	Third Party Deleted	Third Party Changed Out	Third Party Changed In	D to R Total	R to D Total	Blacks Total	Blacks Added	Blacks Deleted	Whites Total	Whites Added	Whites Deleted	Other Races Total	Other Races Added	Other Races Deleted	Men Total	Men Added	Men Deleted	Women Total	Women Added	Women Deleted	Black Women Total	Black Women Added	Black Women Deleted	Black Democrats Total	Black Democrats Added	Black Democrats Deleted	Black Republicans Total	Black Republicans Added	Black Republicans Deleted	Hispanic Democrats Total	Hispanic Democrats Added	Hispanic Democrats Deleted	Hispanic Republicans Total	Hispanic Republicans Added	Hispanic Republicans Deleted	Under 30 Total	Under 30 Added	Under 30 Deleted	30 to 39 Total	30 to 39 Added	30 to 39 Deleted	40 to 49 Total	40 to 49 Added	40 to 49 Deleted	50 to 59 Total	50 to 59 Added	50 to 59 Deleted	60 to 69 Total	60 to 69 Added	60 to 69 Deleted	70 and over Total	70 and over Added	70 and over Deleted	Under 30 Republicans Total	Under 30 Republicans Added	Under 30 Republicans Deleted	Under 30 Democrats Total	Under 30 Democrats Added	Under 30 Democrats Deleted
Alachua	179430	1604	1077	83844	860	458	180	699	50137	409	354	179	314	40821	308	242	618	50	4628	27	23	98	12	157	149	30017	146	102	122641	1055	755	26772	403	220	78702	732	485	95212	774	542	18160	75	56	24691	105	82	924	3	4	4683	133	55	2395	44	21	52193	1113	510	33251	175	187	23043	82	82	25348	93	90	24538	71	92	20338	67	115	12548	255	158	22158	661	208
Baker	14658	109	53	6374	18	20	162	7	6735	72	30	1	190	1352	19	3	26	4	197	0	0	13	1	160	1	1313	6	2	12802	99	49	543	4	2	6797	57	27	7800	52	26	795	2	1	1207	4	2	37	2	0	33	0	1	55	0	0	2432	53	3	2411	14	8	2592	7	8	2879	17	9	2379	10	10	1875	7	15	1238	34	3	718	11	0
Bay	125837	831	413	35778	185	134	182	139	61652	402	197	58	317	25324	235	65	225	34	3083	9	17	35	10	158	44	11496	65	29	105365	690	353	8976	76	31	58554	402	203	65673	397	207	6568	34	15	8902	42	23	662	0	2	778	11	2	983	6	7	22178	316	76	20580	118	64	20215	104	56	24224	132	51	20258	109	70	18196	52	96	9360	129	33	5293	67	17
Bradford	16102	111	75	6905	23	26	110	11	6805	56	32	5	127	2115	29	17	21	6	277	3	0	8	0	107	3	2146	6	5	13383	105	62	573	0	8	7451	59	36	8531	52	38	1237	3	4	1864	4	3	98	1	0	65	0	0	48	0	3	2733	32	20	2428	28	11	2356	9	7	2892	17	14	2828	18	12	2834	7	11	1284	16	8	813	6	3
Brevard	422983	2848	1298	136985	813	434	618	846	173724	1122	550	249	1378	96739	838	264	1232	98	15535	75	50	276	53	540	206	35515	186	83	345026	2285	1115	42442	377	100	197178	1378	658	221490	1413	634	20064	95	47	27705	121	58	1640	10	9	8820	86	22	5740	65	20	65827	921	251	53814	378	107	57471	319	98	84939	498	172	74899	452	152	83640	276	511	20465	325	87	19306	290	75
Broward	1235350	10154	3712	620251	4361	1747	916	1280	266176	1893	1005	299	1443	328249	3767	879	1799	401	20674	133	81	174	64	625	183	284655	2328	516	606825	3493	2372	343870	4333	824	551878	4249	1754	648680	4681	1859	164459	1210	285	228966	1534	406	8729	65	21	98066	1085	233	48891	566	141	207399	6139	669	199069	1159	450	211036	918	378	241856	849	524	183600	607	565	189069	472	1120	29884	957	110	99122	2781	287
Calhoun	8607	39	35	5573	23	22	125	3	2118	9	12	1	133	823	7	1	6	0	93	0	0	4	0	125	1	796	5	1	7473	32	33	338	2	1	3979	18	18	4519	21	17	459	4	0	737	5	1	16	0	0	41	0	0	23	0	0	1584	18	4	1212	3	6	1212	6	2	1444	7	4	1327	3	5	1362	1	14	407	2	0	878	13	4
Charlotte	132178	1140	599	38395	291	170	271	284	55797	512	286	78	669	32229	276	123	508	32	5757	61	20	135	7	248	71	5378	22	16	117740	1027	545	9060	91	38	61348	537	288	69297	574	301	3003	7	7	4025	13	10	267	1	1	1674	27	6	993	9	6	14153	177	79	10144	102	56	12968	114	43	21979	250	69	31066	325	106	41169	168	245	4077	59	29	3830	44	26
Citrus	107779	778	441	32849	198	142	267	148	46835	364	198	53	536	24366	191	91	330	40	3729	25	10	78	4	247	37	2516	18	10	98592	697	402	6671	63	29	50298	385	217	56660	375	219	1347	5	5	1944	11	7	151	1	0	1187	14	2	782	10	3	12709	147	56	9464	59	25	11219	73	37	17752	155	51	23610	207	65	32482	134	205	4420	58	21	3239	46	17
Clay	148525	932	557	33517	211	150	126	162	78162	398	270	78	290	32619	295	125	246	36	4227	28	12	50	12	108	58	14708	114	52	117717	695	454	16100	123	51	69897	426	276	76837	488	271	8018	63	29	10344	58	40	1014	5	1	2226	22	7	2455	20	7	28516	321	135	23435	177	83	26276	125	76	28162	138	86	22744	107	77	18498	63	98	12614	123	48	5616	72	35
