County	All Total	All Added	All Deleted	Democrats Total	Democrats Added	Democrats Deleted	Democrats Changed Out	Democrats Changed In	Republicans Total	Republicans Added	Republicans Deleted	Republicans Changed Out	Republicans Changed In	No Party Total	No Party Added	No Party Deleted	No Party Changed Out	No Party Changed In	Third Party Total	Third Party Added	Third Party Deleted	Third Party Changed Out	Third Party Changed In	D to R Total	R to D Total	Blacks Total	Blacks Added	Blacks Deleted	Whites Total	Whites Added	Whites Deleted	Other Races Total	Other Races Added	Other Races Deleted	Men Total	Men Added	Men Deleted	Women Total	Women Added	Women Deleted	Black Women Total	Black Women Added	Black Women Deleted	Black Democrats Total	Black Democrats Added	Black Democrats Deleted	Black Republicans Total	Black Republicans Added	Black Republicans Deleted	Hispanic Democrats Total	Hispanic Democrats Added	Hispanic Democrats Deleted	Hispanic Republicans Total	Hispanic Republicans Added	Hispanic Republicans Deleted	Under 30 Total	Under 30 Added	Under 30 Deleted	30 to 39 Total	30 to 39 Added	30 to 39 Deleted	40 to 49 Total	40 to 49 Added	40 to 49 Deleted	50 to 59 Total	50 to 59 Added	50 to 59 Deleted	60 to 69 Total	60 to 69 Added	60 to 69 Deleted	70 and over Total	70 and over Added	70 and over Deleted	Under 30 Republicans Total	Under 30 Republicans Added	Under 30 Republicans Deleted	Under 30 Democrats Total	Under 30 Democrats Added	Under 30 Democrats Deleted
Alachua	177653	1413	577	82328	546	269	48	95	49518	345	143	35	71	41090	472	147	93	63	4717	50	18	55	2	38	20	29817	188	58	121518	858	405	26318	367	114	77851	597	247	94342	729	311	18072	109	37	24578	125	47	917	11	1	4425	94	26	2336	31	13	50626	894	247	33107	171	95	22885	122	49	25243	113	51	24533	62	54	20555	47	80	12310	190	51	20751	358	121
Baker	14611	83	38	6644	13	15	14	0	6406	51	19	1	11	1351	18	4	0	7	210	1	0	3	0	11	0	1319	4	3	12756	76	33	536	3	2	6763	37	19	7791	45	18	802	3	1	1215	2	1	35	1	1	30	1	0	53	0	0	2338	44	7	2407	8	4	2592	10	5	2870	9	2	2402	4	7	1918	8	13	1172	27	6	698	7	0
Bay	124342	773	292	35807	139	96	65	32	60485	320	127	15	89	24956	290	62	62	56	3094	24	7	40	5	47	7	11379	64	25	104128	624	245	8835	85	22	57876	356	143	64879	385	143	6507	35	13	8841	41	17	661	1	3	758	10	1	961	6	4	21377	264	54	20311	141	45	20014	116	34	23939	115	30	20107	92	51	18420	44	77	9024	87	20	5085	44	12
Bradford	15980	62	45	7050	17	18	12	0	6584	15	18	2	14	2058	29	9	2	6	288	1	0	4	0	10	0	2131	11	3	13277	44	38	572	7	4	7405	22	11	8465	37	34	1228	8	3	1859	6	2	97	0	0	64	1	0	49	0	0	2631	34	8	2408	5	8	2348	4	5	2882	8	10	2827	7	5	2858	4	9	1230	8	4	805	7	2
Brevard	417830	2893	1161	136160	781	406	168	175	170081	955	449	94	255	95798	1068	264	215	304	15791	89	42	282	25	117	53	35046	220	88	341375	2233	974	41409	440	99	194824	1330	591	218821	1495	561	19824	122	39	27458	145	62	1609	11	5	8580	93	19	5479	53	11	63418	937	204	52956	395	97	56785	391	92	83903	452	143	73883	442	170	84539	272	448	19683	274	55	18373	254	66
Broward	1231153	7773	3824	620043	3216	1904	370	368	264404	1318	925	151	421	325895	3077	932	526	366	20811	162	63	152	44	176	67	282686	1661	615	610055	2834	2292	338412	3278	917	550339	3449	1785	647116	3937	1930	163360	947	323	228014	1182	489	8651	57	20	96457	876	279	47951	432	132	199341	2242	765	198377	1726	522	210559	1339	408	242006	1107	467	184257	763	514	193390	593	1141	28406	323	107	95262	956	352
Calhoun	8572	29	26	5733	7	16	7	0	1931	14	8	1	6	810	8	1	0	1	98	0	1	0	1	6	0	790	2	1	7449	26	24	333	1	1	3964	15	12	4502	14	14	455	1	1	730	1	1	15	0	0	41	0	0	23	0	0	1528	8	2	1210	5	5	1212	4	6	1434	2	2	1329	8	4	1394	2	7	378	3	0	858	3	2
Charlotte	129385	1005	433	37862	252	124	37	33	53761	376	188	18	68	32017	322	99	51	34	5745	55	22	33	4	28	10	5303	34	20	115253	893	390	8829	78	23	60133	488	195	67818	494	236	2960	19	14	3977	19	12	258	2	1	1608	10	3	949	15	5	13406	167	68	9968	81	43	12687	115	36	21328	185	41	30049	288	63	41274	167	179	3800	38	19	3601	38	18
Citrus	106194	777	339	32789	174	120	56	17	45247	312	145	15	80	24375	265	63	51	63	3783	26	11	43	5	38	6	2486	22	4	97193	692	315	6515	63	20	49511	366	175	55892	404	164	1338	14	3	1923	15	4	149	4	0	1151	12	5	745	10	0	12235	176	50	9293	68	20	11024	76	25	17352	145	42	23052	194	44	32715	118	158	4207	57	17	3089	39	19
Clay	146710	944	539	33085	232	123	53	33	77164	344	273	32	74	32214	345	127	52	87	4247	23	16	61	4	37	10	14385	142	33	116596	662	445	15729	140	61	69133	442	259	75855	491	276	7845	79	18	10150	86	21	990	6	1	2154	19	8	2400	15	7	27367	323	121	23094	194	88	26073	160	106	28002	120	68	22630	97	63	18665	50	91	12159	119	50	5244	54	30
