County	All Total	All Added	All Deleted	Democrats Total	Democrats Added	Democrats Deleted	Democrats Changed Out	Democrats Changed In	Republicans Total	Republicans Added	Republicans Deleted	Republicans Changed Out	Republicans Changed In	No Party Total	No Party Added	No Party Deleted	No Party Changed Out	No Party Changed In	Third Party Total	Third Party Added	Third Party Deleted	Third Party Changed Out	Third Party Changed In	D to R Total	R to D Total	American Indians or Alaskan Natives Total	American Indians or Alaskan Natives Added	American Indians or Alaskan Natives Deleted	Asians Or Pacific Islanders Total	Asians Or Pacific Islanders Added	Asians Or Pacific Islanders Deleted	Blacks Total	Blacks Added	Blacks Deleted	Hispanics Total	Hispanics Added	Hispanics Deleted	Whites Total	Whites Added	Whites Deleted	Other Races Total	Other Races Added	Other Races Deleted	Men Total	Men Added	Men Deleted	Women Total	Women Added	Women Deleted	Black Women Total	Black Women Added	Black Women Deleted	Black Democrats Total	Black Democrats Added	Black Democrats Deleted	Black Republicans Total	Black Republicans Added	Black Republicans Deleted	Hispanic Democrats Total	Hispanic Democrats Added	Hispanic Democrats Deleted	Hispanic Republicans Total	Hispanic Republicans Added	Hispanic Republicans Deleted	Under 30 Total	Under 30 Added	Under 30 Deleted	30 to 39 Total	30 to 39 Added	30 to 39 Deleted	40 to 49 Total	40 to 49 Added	40 to 49 Deleted	50 to 59 Total	50 to 59 Added	50 to 59 Deleted	60 to 69 Total	60 to 69 Added	60 to 69 Deleted	70 and over Total	70 and over Added	70 and over Deleted	Under 30 Republicans Total	Under 30 Republicans Added	Under 30 Republicans Deleted	Under 30 Democrats Total	Under 30 Democrats Added	Under 30 Democrats Deleted
Columbia	39846	395	236	15801	109	85	158	58	17005	180	118	17	283	6075	98	23	173	20	965	8	10	18	5	145	7	189	1	2	322	3	1	5700	56	35	1055	28	8	31970	294	186	610	13	4	18384	181	109	21278	208	125	3327	28	21	4957	46	31	191	1	0	339	7	2	371	6	6	7056	152	54	5659	73	38	5696	55	28	7210	41	35	7278	41	32	6877	31	49	2920	64	26	2272	42	17
Miami-Dade	1413641	10878	4450	602835	4357	2134	1576	2587	385519	2650	1294	719	3036	404743	3680	958	4069	818	20544	191	64	240	163	1040	431	2538	12	18	16197	119	40	261163	1267	973	785997	7015	2269	271740	1659	961	76006	806	189	617437	4489	1890	754707	5519	2442	148949	698	584	216232	922	817	7586	43	30	243216	2510	769	279643	1922	917	268227	3946	987	232207	1827	679	227458	1627	458	243079	1428	503	195900	1191	511	244512	851	1303	41488	778	155	120567	1754	568
Desoto	16233	148	79	7519	51	42	39	38	5159	44	25	20	77	3305	52	10	57	6	250	1	2	5	0	37	17	47	0	0	86	1	3	1679	13	9	1522	35	1	12646	96	65	253	3	1	7364	64	33	8816	83	46	1000	7	6	1440	7	8	44	0	1	692	19	0	194	2	1	2623	57	9	2054	10	16	1983	18	12	2714	23	8	2947	22	9	3897	18	25	631	16	3	1035	18	6
Dixie	10025	68	64	5142	24	27	54	8	3365	38	25	7	78	1276	5	10	19	4	242	1	2	11	1	53	3	47	1	0	30	2	0	447	7	1	102	0	1	9256	50	62	143	8	0	4726	31	31	5173	28	33	263	2	1	405	7	1	16	0	0	34	0	1	36	0	0	1279	15	13	1288	12	11	1263	6	9	1953	14	12	2096	14	8	2136	6	11	419	7	6	544	8	5
Duval	617454	5015	1932	255804	1967	758	842	1361	224634	1706	800	306	1849	118233	1199	333	2132	245	18783	143	41	251	76	703	192	2371	31	9	18314	139	36	173545	1300	429	27827	424	118	371608	2849	1261	23789	272	79	275203	2190	878	330706	2634	1012	101813	731	231	142556	1006	355	6238	59	14	10351	182	53	7373	100	30	127155	2205	577	113710	1037	347	101472	642	260	112325	580	237	89562	340	207	70414	206	299	37074	685	193	48949	912	251
Escambia	219682	1886	785	76240	556	246	408	588	97129	852	383	135	1112	40549	428	141	1143	85	5764	50	15	130	31	358	86	1513	16	8	4950	37	15	43144	308	125	4432	59	24	158196	1374	583	7447	92	30	101610	848	377	115895	938	401	25321	154	72	35112	215	104	1841	21	2	1360	18	6	1585	22	11	43869	885	228	36363	336	138	32631	224	88	38722	214	89	34736	139	73	32490	86	166	16727	380	110	13362	273	67
Flagler	82485	730	452	26892	210	167	205	313	31431	291	178	52	650	22119	218	97	699	40	2043	11	10	56	9	180	35	255	1	2	1297	10	8	7759	87	48	4571	66	22	65141	527	354	3462	39	18	38114	355	212	43514	338	234	4291	44	31	5984	63	39	322	4	4	2008	32	13	1040	17	3	11071	216	89	9318	103	59	10417	85	48	13474	137	63	17313	125	68	20386	63	124	2825	59	29	3228	67	33
Franklin	7781	68	40	4527	18	15	50	14	2275	36	20	6	66	828	13	4	28	5	151	1	1	3	2	47	2	22	0	0	18	0	0	559	4	4	50	1	1	7100	62	35	32	1	0	3686	37	24	4092	31	16	321	3	3	520	3	3	13	1	0	28	0	0	13	0	1	925	19	2	836	6	5	929	3	5	1450	18	10	1835	16	8	1797	6	10	246	6	0	477	8	1
Gadsden	30164	267	163	22944	185	114	39	62	4517	39	29	15	54	2371	41	17	65	10	332	2	3	9	2	34	9	89	0	1	88	1	0	17087	151	84	715	26	3	11390	82	70	795	7	5	12668	105	71	17024	148	90	10232	86	45	16056	135	76	252	1	1	428	11	2	101	6	1	5317	145	46	4618	44	41	4513	31	22	5591	19	19	5425	21	14	4665	7	21	619	13	5	3948	110	36
Gilchrist	11438	110	59	3762	21	15	41	13	5902	66	31	5	72	1454	20	7	38	1	320	3	6	2	0	41	4	37	1	1	44	0	0	260	3	1	178	3	3	10789	100	53	130	3	1	5423	50	30	5970	59	29	150	1	0	218	3	1	16	0	0	59	1	1	72	0	2	1878	35	11	1515	28	14	1700	17	9	2229	22	7	2107	5	7	1952	3	11	985	20	5	398	7	3
Glades	7173	58	54	3506	18	20	15	8	2360	26	22	2	23	1119	14	9	14	4	188	0	3	4	0	14	1	202	2	0	22	0	1	447	4	2	569	11	5	5849	36	46	84	5	0	3488	33	25	3670	25	29	262	2	0	408	4	1	10	0	0	285	5	1	123	4	2	858	11	10	820	8	16	870	9	6	1168	10	7	1398	12	7	2054	8	8	234	2	4	347	4	3
Gulf	10095	83	43	4638	20	23	78	14	4239	49	13	8	110	1039	13	6	32	3	179	1	1	10	1	78	6	42	0	0	32	0	1	976	4	2	82	2	1	8852	74	39	111	3	0	4762	46	18	5270	36	25	534	4	1	878	4	2	37	0	0	34	0	0	31	1	0	1572	24	9	1153	7	8	1385	20	6	1911	13	4	2064	10	5	1990	9	11	634	14	5	580	5	2
Hamilton	8223	82	39	4970	28	21	36	16	2249	39	14	1	48	839	13	3	25	2	165	2	1	6	2	33	1	13	1	1	36	0	1	2412	21	14	168	4	3	5536	55	20	58	1	0	3811	47	19	4386	34	20	1387	9	8	2168	16	13	86	2	1	68	2	2	50	1	0	1389	41	10	1191	12	11	1288	6	4	1490	14	7	1506	5	4	1348	4	3	430	17	3	722	15	4
Hardee	12910	67	72	5545	17	27	59	22	5252	30	31	5	91	1848	19	13	48	6	265	1	1	9	2	52	5	33	0	0	122	4	0	851	6	4	2448	16	18	9110	37	47	346	4	3	5750	24	31	6994	37	41	480	1	2	706	4	4	47	1	0	1214	8	8	600	1	5	2214	31	24	2143	9	16	1972	7	8	2067	7	7	2030	9	7	2462	4	10	870	11	12	727	7	8
Hendry	19021	188	105	9020	83	51	64	60	6490	70	32	21	116	3155	30	22	92	7	356	5	0	6	0	60	18	253	6	1	116	1	0	2696	18	20	4844	77	27	10609	80	52	503	6	5	8599	73	34	10247	113	69	1579	11	13	2378	16	17	85	0	1	2204	41	16	1360	21	4	3935	97	28	3055	26	17	2878	16	10	3297	24	13	2938	21	18	2892	4	19	1151	35	7	1584	47	11
Hernando	135823	972	1512	46015	278	531	324	195	54152	411	564	77	615	30617	251	371	429	74	5039	32	46	73	19	289	42	523	4	3	1110	8	16	5756	43	75	10388	112	143	114299	762	1236	3747	43	39	61996	434	641	72047	493	851	3179	17	39	4557	34	59	285	4	4	5124	57	66	2295	29	26	19483	292	330	15107	125	248	17893	135	237	23113	144	229	25349	176	176	34061	98	291	5847	87	105	5906	99	95
Highlands	67159	533	321	23116	171	114	151	169	29426	196	136	32	415	12647	160	65	381	27	1970	6	6	52	5	130	25	258	6	1	675	7	2	5506	39	21	7127	95	49	52256	372	241	1337	14	7	30444	252	162	36273	258	157	3184	20	8	4465	28	17	264	0	0	3119	40	21	1696	19	8	8859	157	57	6990	65	42	7076	38	21	10003	84	28	12667	99	31	21452	90	142	2949	53	18	2906	51	20
Hillsborough	858949	8031	3310	337705	3012	1366	1363	2843	272910	2233	1110	496	3085	223478	2620	733	4239	466	24856	166	101	381	85	1044	347	2714	22	13	21824	218	55	133859	1321	481	138632	1754	464	521234	4140	2158	40686	576	139	386617	3563	1443	450327	4025	1792	76404	725	273	103770	933	384	5048	54	18	60081	773	213	26320	298	105	176345	3505	952	153106	1581	601	148601	1065	403	152465	920	434	119894	581	346	106350	373	567	41157	849	273	65610	1352	413
