County	All Total	All Added	All Deleted	Democrats Total	Democrats Added	Democrats Deleted	Democrats Changed Out	Democrats Changed In	Republicans Total	Republicans Added	Republicans Deleted	Republicans Changed Out	Republicans Changed In	No Party Total	No Party Added	No Party Deleted	No Party Changed Out	No Party Changed In	Third Party Total	Third Party Added	Third Party Deleted	Third Party Changed Out	Third Party Changed In	D to R Total	R to D Total	American Indians or Alaskan Natives Total	American Indians or Alaskan Natives Added	American Indians or Alaskan Natives Deleted	Asians Or Pacific Islanders Total	Asians Or Pacific Islanders Added	Asians Or Pacific Islanders Deleted	Blacks Total	Blacks Added	Blacks Deleted	Hispanics Total	Hispanics Added	Hispanics Deleted	Whites Total	Whites Added	Whites Deleted	Other Races Total	Other Races Added	Other Races Deleted	Men Total	Men Added	Men Deleted	Women Total	Women Added	Women Deleted	Black Women Total	Black Women Added	Black Women Deleted	Black Democrats Total	Black Democrats Added	Black Democrats Deleted	Black Republicans Total	Black Republicans Added	Black Republicans Deleted	Hispanic Democrats Total	Hispanic Democrats Added	Hispanic Democrats Deleted	Hispanic Republicans Total	Hispanic Republicans Added	Hispanic Republicans Deleted	Under 30 Total	Under 30 Added	Under 30 Deleted	30 to 39 Total	30 to 39 Added	30 to 39 Deleted	40 to 49 Total	40 to 49 Added	40 to 49 Deleted	50 to 59 Total	50 to 59 Added	50 to 59 Deleted	60 to 69 Total	60 to 69 Added	60 to 69 Deleted	70 and over Total	70 and over Added	70 and over Deleted	Under 30 Republicans Total	Under 30 Republicans Added	Under 30 Republicans Deleted	Under 30 Democrats Total	Under 30 Democrats Added	Under 30 Democrats Deleted
Alachua	182151	1473	699	86275	617	308	163	379	51667	401	193	126	303	39707	422	185	464	88	4502	33	13	39	22	107	87	674	6	0	5970	52	24	30340	252	93	11694	184	78	124198	887	466	9275	92	38	79741	605	286	96576	767	387	18336	141	54	25053	178	72	934	6	4	5138	96	31	2533	32	20	54048	831	282	33585	200	108	23244	126	40	25444	127	82	24687	113	73	20405	73	112	13186	215	77	24024	353	101
Baker	14932	96	66	6194	16	23	27	2	7190	53	31	0	28	1352	23	11	3	0	196	4	1	0	0	27	0	75	1	0	68	0	0	1318	4	8	137	2	0	13056	84	55	278	5	3	6937	41	27	7918	49	39	796	1	5	1210	3	6	40	0	0	34	2	0	61	0	0	2590	33	17	2457	22	9	2631	20	11	2896	8	9	2394	7	8	1875	6	12	1376	17	11	734	8	2
Bay	128172	749	265	35991	176	94	53	40	64012	311	118	31	87	25170	243	46	77	38	2999	19	7	11	7	40	7	721	7	0	1873	12	3	11659	64	22	2898	37	5	107153	585	231	3868	44	4	59633	337	119	66750	375	142	6647	35	13	9032	43	14	671	3	3	835	13	2	1032	7	3	23237	303	43	20988	130	52	20498	95	24	24488	106	35	20512	78	34	18245	36	77	9945	127	20	5644	64	8
Bradford	16157	79	185	6745	29	58	8	1	7064	36	79	1	12	2081	13	41	4	1	267	1	7	1	0	8	0	47	0	1	82	1	1	2158	11	18	167	2	1	13403	60	161	300	5	3	7494	40	87	8540	37	94	1239	6	10	1871	11	18	101	0	0	70	2	1	50	0	0	2765	31	59	2446	13	37	2363	10	29	2915	10	21	2829	10	13	2806	5	26	1323	20	26	812	8	14
Brevard	428986	2500	1250	138834	671	441	140	146	178509	838	519	119	216	96263	904	240	229	124	15380	87	50	58	60	69	39	1638	10	4	6705	48	13	36034	210	92	23066	253	77	349263	1829	1038	12280	150	26	199992	1136	572	224446	1240	660	20320	101	58	28141	135	79	1677	11	1	9138	87	41	6073	46	16	68213	933	184	54822	331	167	58134	298	104	85709	380	181	75802	358	170	83876	199	442	21473	298	62	20402	249	64
Broward	1250406	6352	3379	631475	2974	1667	1149	3070	274864	1167	793	484	2284	323754	2070	862	3974	448	20313	141	57	239	44	845	345	3958	16	13	30682	179	40	288373	1369	554	237964	1909	744	610012	2305	1817	79417	574	211	558541	2722	1453	655598	3104	1834	166306	696	339	232969	997	453	8907	41	12	102167	893	328	51175	292	163	215019	2286	590	201564	1216	568	212573	955	430	243423	823	495	184994	627	490	189454	441	801	31720	360	91	104725	1133	270
Calhoun	8678	43	26	5481	25	15	8	16	2287	15	6	14	6	816	3	4	3	1	94	0	1	0	2	5	14	86	1	0	33	0	1	796	3	1	95	2	0	7524	34	24	144	3	0	4016	19	15	4550	21	11	460	0	1	738	3	1	17	0	0	45	1	0	27	1	0	1623	19	4	1219	3	5	1223	4	2	1464	5	0	1330	6	6	1354	6	8	446	8	0	881	10	2
Charlotte	133846	852	475	38799	223	157	30	42	57563	361	187	29	66	31844	244	112	85	44	5640	24	19	14	6	11	8	490	6	4	1182	10	1	5435	33	16	4173	41	17	119184	740	423	3382	22	14	62161	382	218	70099	454	253	3029	17	10	4066	22	15	267	2	0	1745	19	6	1035	8	9	14495	163	57	10304	76	36	13131	91	40	22382	185	62	31574	211	84	41261	125	194	4216	52	13	3995	40	24
Citrus	109389	695	319	32918	171	104	72	19	48727	268	146	22	92	24075	220	64	64	35	3669	36	5	5	17	50	3	381	4	0	1200	13	0	2550	19	8	2905	33	5	99954	606	301	2399	20	5	51019	319	156	57418	346	158	1359	5	2	1971	11	5	160	3	2	1234	14	4	837	7	0	13169	187	42	9678	67	24	11422	86	23	18010	105	30	23970	151	58	32588	98	141	4683	66	16	3396	54	10
Clay	149811	1378	1056	33741	351	274	99	38	80268	556	433	23	188	31705	422	310	122	24	4097	49	39	17	11	86	11	682	4	7	3646	28	23	14766	176	178	7780	109	70	118617	986	745	4320	75	33	70486	587	444	77413	731	600	7998	94	116	10464	115	130	1032	11	7	2304	36	22	2581	21	19	29082	541	322	23660	269	224	26336	189	145	28325	168	129	22911	130	110	18582	81	124	13040	219	117	5891	124	78
