County	All Total	All Added	All Deleted	Democrats Total	Democrats Added	Democrats Deleted	Democrats Changed Out	Democrats Changed In	Republicans Total	Republicans Added	Republicans Deleted	Republicans Changed Out	Republicans Changed In	No Party Total	No Party Added	No Party Deleted	No Party Changed Out	No Party Changed In	Third Party Total	Third Party Added	Third Party Deleted	Third Party Changed Out	Third Party Changed In	D to R Total	R to D Total	Blacks Total	Blacks Added	Blacks Deleted	Whites Total	Whites Added	Whites Deleted	Other Races Total	Other Races Added	Other Races Deleted	Men Total	Men Added	Men Deleted	Women Total	Women Added	Women Deleted	Black Women Total	Black Women Added	Black Women Deleted	Black Democrats Total	Black Democrats Added	Black Democrats Deleted	Black Republicans Total	Black Republicans Added	Black Republicans Deleted	Hispanic Democrats Total	Hispanic Democrats Added	Hispanic Democrats Deleted	Hispanic Republicans Total	Hispanic Republicans Added	Hispanic Republicans Deleted	Under 30 Total	Under 30 Added	Under 30 Deleted	30 to 39 Total	30 to 39 Added	30 to 39 Deleted	40 to 49 Total	40 to 49 Added	40 to 49 Deleted	50 to 59 Total	50 to 59 Added	50 to 59 Deleted	60 to 69 Total	60 to 69 Added	60 to 69 Deleted	70 and over Total	70 and over Added	70 and over Deleted	Under 30 Republicans Total	Under 30 Republicans Added	Under 30 Republicans Deleted	Under 30 Democrats Total	Under 30 Democrats Added	Under 30 Democrats Deleted
Alachua	180867	2707	1271	85141	1374	537	218	678	50821	847	406	119	362	40370	455	301	630	24	4535	31	27	103	6	201	114	30116	208	114	123468	1678	863	27283	821	294	79217	1068	574	95855	1252	636	18197	110	76	24780	153	89	936	12	6	4895	211	75	2449	82	32	53434	1962	720	33308	259	199	23110	150	81	25417	154	85	24570	110	78	20302	69	105	12947	596	200	23277	1079	303
Baker	14802	187	44	6284	34	14	114	3	6972	130	23	2	132	1352	22	6	18	2	194	1	1	3	0	114	0	1316	7	4	12940	171	36	546	9	4	6862	83	20	7874	99	24	798	5	2	1208	5	4	38	1	0	32	0	1	58	1	1	2531	108	10	2424	20	7	2607	22	7	2892	19	7	2390	15	4	1869	3	9	1325	82	2	728	16	3
Bay	126895	1425	368	35907	319	92	283	185	62651	712	195	56	538	25296	357	72	338	24	3041	37	9	74	4	268	45	11551	78	22	106209	1152	312	9135	195	34	59027	644	177	66158	672	188	6597	42	12	8934	47	16	671	3	0	802	20	2	1003	22	7	22789	684	73	20728	207	57	20339	172	48	24338	178	65	20328	125	53	18183	59	72	9673	315	30	5494	163	24
Bradford	16158	140	85	6848	30	30	62	4	6907	74	45	0	73	2128	30	7	11	1	275	6	3	5	0	61	0	2155	12	3	13420	117	81	583	11	1	7488	68	32	8548	70	53	1239	4	2	1866	5	3	100	2	0	65	0	0	48	0	1	2785	67	15	2438	20	10	2367	23	12	2897	18	13	2821	8	15	2819	4	20	1316	38	10	822	14	3
Brevard	425513	3562	1033	137941	1051	348	323	575	175448	1454	423	185	878	96707	952	211	814	41	15417	105	51	192	20	297	164	35693	249	67	346939	2769	846	42881	544	120	198358	1679	504	222744	1750	517	20167	141	34	27825	171	47	1652	8	3	8930	102	24	5836	88	24	66970	1382	236	54155	445	101	57790	406	84	85333	526	131	75242	479	131	83610	317	347	20900	487	73	19884	482	73
Broward	1243072	11388	3667	624820	5266	1705	1284	2291	269958	2564	944	427	2589	327800	3395	926	3312	394	20494	163	92	312	61	1000	317	286301	2124	521	609053	4415	2158	347718	4849	988	555282	4933	1691	652276	5321	1865	165306	1092	282	230246	1507	413	8818	65	19	99716	1530	292	49821	698	184	212109	5501	788	200214	1698	549	211941	1353	444	242505	1217	565	184032	925	490	188928	675	816	31003	1075	149	102128	2653	326
Calhoun	8642	69	35	5471	17	17	107	5	2257	41	10	3	111	822	11	7	7	2	92	0	1	1	0	105	3	794	1	3	7501	59	31	347	9	1	3999	38	18	4535	30	16	460	1	0	735	1	3	16	0	0	43	1	0	25	2	0	1607	30	8	1213	6	5	1219	12	5	1456	15	3	1325	4	6	1357	2	7	430	17	3	875	8	4
Charlotte	132965	1348	562	38645	385	149	160	173	56485	590	271	56	425	32115	320	122	332	20	5720	53	20	73	3	150	49	5394	35	19	118460	1202	490	9111	111	53	61745	631	244	69657	665	310	3011	17	10	4038	24	11	267	2	3	1697	30	8	1007	9	3	14324	264	93	10204	114	54	13047	135	56	22209	298	68	31342	366	90	41142	171	199	4135	92	38	3920	85	21
Citrus	108515	1133	398	32957	296	128	182	122	47540	523	178	32	392	24321	277	80	256	13	3697	37	12	57	0	172	30	2516	18	15	99258	1013	356	6741	102	27	50618	493	181	57012	561	213	1348	8	6	1945	12	12	152	1	1	1200	17	2	793	7	3	12937	287	57	9548	119	35	11314	124	27	17903	205	54	23800	254	65	32464	143	160	4516	101	17	3320	87	15
Clay	149336	1344	534	33787	352	130	82	130	78714	623	271	45	245	32638	345	120	225	18	4197	24	13	43	2	75	34	14803	148	47	118275	973	429	16258	223	58	70242	605	261	77264	682	264	8066	76	25	10404	92	35	1022	7	2	2250	30	12	2491	42	5	28871	524	170	23590	229	71	26398	199	77	28238	152	79	22812	133	65	18534	105	69	12773	223	78	5751	130	40
Collier	219721	2191	595	52837	551	152	157	247	107971	1019	295	75	556	53530	586	129	514	21	5383	35	19	81	3	148	64	8460	58	26	181191	1675	488	30070	458	81	102224	992	297	115853	1116	296	4397	30	13	6140	34	21	447	4	1	8603	119	23	5996	78	24	28563	592	112	20861	219	55	24933	245	40	35785	356	70	44320	461	99	64446	315	217	9517	200	37	7325	178	33
Columbia	39686	389	236	15876	103	88	125	31	16677	204	84	12	174	6153	75	56	59	3	980	7	8	12	0	123	11	5676	36	29	31863	325	192	2147	28	15	18310	203	112	21194	183	124	3319	15	16	4919	20	24	188	1	1	332	6	4	364	6	2	7016	131	48	5619	71	47	5674	46	29	7213	51	35	7263	45	36	6834	44	41	2878	70	20	2271	33	12
Miami-Dade	1407212	11751	3691	599601	5038	1656	856	2269	381846	2821	970	443	2009	405271	3742	996	3049	289	20494	150	69	270	51	654	358	260859	1213	611	271241	2103	1028	875112	8435	2052	614721	4835	1636	751479	5469	1948	148826	625	376	215897	895	502	7566	37	13	240855	2750	613	276761	1916	633	267801	5739	820	230611	1661	681	226571	1462	445	241893	1212	451	194776	987	413	243330	679	875	41004	1163	128	120055	2720	369
Desoto	16163	225	79	7510	73	30	68	23	5083	89	34	8	92	3314	57	13	34	1	256	6	2	6	0	67	8	1675	12	4	12614	168	68	1874	45	7	7332	111	31	8779	112	46	999	6	2	1437	10	3	44	1	0	667	14	3	193	3	0	2600	82	14	2055	21	14	1983	29	10	2687	32	14	2952	31	9	3871	29	18	615	28	4	1030	27	6
Dixie	10020	87	64	5191	17	28	84	1	3280	50	26	0	97	1296	20	9	12	0	253	0	1	2	0	84	0	441	0	0	9264	79	59	315	8	5	4723	41	25	5179	41	37	262	0	0	399	0	0	16	0	0	34	0	0	34	0	0	1293	21	7	1277	8	12	1274	12	9	1953	22	12	2096	17	13	2118	7	11	418	11	5	553	6	2
Duval	614370	4888	1548	254075	1810	554	494	1631	222185	1734	645	266	2557	119254	1197	303	2954	56	18856	147	46	550	20	453	249	172612	912	248	370001	3121	1112	71757	855	188	273857	2232	730	329036	2345	777	101272	468	139	141304	623	211	6177	38	8	10145	168	36	7200	82	17	126748	2257	398	112699	902	288	101256	567	193	111853	521	183	89041	399	175	69973	234	303	36785	719	139	48299	924	122
